FECHA,PRODUCTO,SECTOR,PRECIO MEDIO,PROCEDENCIA
2018-01,ACEITUNAS,FRUTAS,3.46,MercaMadrid
2018-01,ACELGAS,HORTALIZAS,0.77,MercaMadrid
2018-01,AGUACATES,FRUTAS,4.00,MercaMadrid
2018-01,AJOS,HORTALIZAS,1.75,MercaMadrid
2018-01,ALBARICOQUES,FRUTAS,2.00,MercaMadrid
2018-01,ALCACHOFAS,HORTALIZAS,1.48,MercaMadrid
2018-01,ALPICOCES,HORTALIZAS,0.01,MercaMadrid
2018-01,APIO,HORTALIZAS,1.43,MercaMadrid
2018-01,BATATAS,HORTALIZAS,0.85,MercaMadrid
2018-01,BERENJENAS,HORTALIZAS,1.20,MercaMadrid
2018-01,BERROS,HORTALIZAS,11.00,MercaMadrid
2018-01,BONIATOS,HORTALIZAS,1.50,MercaMadrid
2018-01,BORRAJAS,HORTALIZAS,1.00,MercaMadrid
2018-01,BROCOLI,HORTALIZAS,1.09,MercaMadrid
2018-01,CALABACINES,HORTALIZAS,0.87,MercaMadrid
2018-01,CALABAZAS,HORTALIZAS,0.55,MercaMadrid
2018-01,CAQUIS,FRUTAS,1.36,MercaMadrid
2018-01,CARLOTAS,HORTALIZAS,0.01,MercaMadrid
2018-01,CASTAÑAS,FRUTAS,3.00,MercaMadrid
2018-01,CEBOLLAS,HORTALIZAS,0.98,MercaMadrid
2018-01,CEREZAS,FRUTAS,7.50,MercaMadrid
2018-01,CHAMPIÑON,HORTALIZAS,1.50,MercaMadrid
2018-01,CHIRIMOYAS,FRUTAS,3.31,MercaMadrid
2018-01,CHIRIVIAS,HORTALIZAS,1.13,MercaMadrid
2018-01,CIRUELAS,FRUTAS,2.50,MercaMadrid
2018-01,COCOS,FRUTAS,1.30,MercaMadrid
2018-01,COLES-REPOLLO,HORTALIZAS,0.80,MercaMadrid
2018-01,COLIFLORES,HORTALIZAS,1.33,MercaMadrid
2018-01,DATILES,FRUTAS,9.00,MercaMadrid
2018-01,ENDIVIAS,HORTALIZAS,1.23,MercaMadrid
2018-01,ESCAROLAS,HORTALIZAS,0.58,MercaMadrid
2018-01,ESPARRAGOS,HORTALIZAS,6.76,MercaMadrid
2018-01,ESPINACAS,HORTALIZAS,0.65,MercaMadrid
2018-01,FRAMBUESAS,FRUTAS,13.23,MercaMadrid
2018-01,FRESONES,FRUTAS,2.48,MercaMadrid
2018-01,FRUTA DE LA PASION,FRUTAS,7.00,MercaMadrid
2018-01,FRUTOS SECOS,FRUTAS,5.73,MercaMadrid
2018-01,GARROFON,HORTALIZAS,1.40,MercaMadrid
2018-01,GRANADAS,FRUTAS,1.13,MercaMadrid
2018-01,GRELOS,HORTALIZAS,0.55,MercaMadrid
2018-01,GROSELLA,FRUTAS,18.40,MercaMadrid
2018-01,GUAYABOS,FRUTAS,3.17,MercaMadrid
2018-01,GUISANTES,HORTALIZAS,3.00,MercaMadrid
2018-01,HABAS VERDES,HORTALIZAS,1.61,MercaMadrid
2018-01,HIGOS,FRUTAS,4.00,MercaMadrid
2018-01,JENGIBRE,HORTALIZAS,2.07,MercaMadrid
2018-01,JUDIAS VERDES,HORTALIZAS,3.58,MercaMadrid
2018-01,KIWI,FRUTAS,3.67,MercaMadrid
2018-01,LAUREL,HORTALIZAS,0.25,MercaMadrid
2018-01,LECHUGAS,HORTALIZAS,0.44,MercaMadrid
2018-01,LIMA,FRUTAS,2.07,MercaMadrid
2018-01,LIMONES,FRUTAS,1.05,MercaMadrid
2018-01,LITCHIS,FRUTAS,3.00,MercaMadrid
2018-01,LOMBARDA,HORTALIZAS,0.40,MercaMadrid
2018-01,MAIZ,HORTALIZAS,4.13,MercaMadrid
2018-01,MANDARINAS,FRUTAS,1.37,MercaMadrid
2018-01,MANGOS,FRUTAS,1.61,MercaMadrid
2018-01,MANZANAS,FRUTAS,1.39,MercaMadrid
2018-01,MELOCOTONES,FRUTAS,3.75,MercaMadrid
2018-01,MELONES,FRUTAS,1.15,MercaMadrid
2018-01,MEMBRILLOS,FRUTAS,1.10,MercaMadrid
2018-01,NABOS,HORTALIZAS,0.76,MercaMadrid
2018-01,NARANJAS,FRUTAS,0.95,MercaMadrid
2018-01,NECTARINAS,FRUTAS,3.13,MercaMadrid
