Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
03-2018,2018,3,Total Nacional,TOTAL PATATAS,111978.64,92382.14,0.82,80.93,2.45,2.02
03-2018,2018,3,Total Nacional,PATATAS FRESCAS,79299.74,56112.25,0.71,66.89,1.74,1.23
03-2018,2018,3,Total Nacional,PATATAS CONGELADAS,4270.74,5386.51,1.26,12.95,0.09,0.12
03-2018,2018,3,Total Nacional,PATATAS PROCESADAS,5681.63,30883.38,5.44,49.72,0.12,0.68
03-2018,2018,3,Total Nacional,T.HORTALIZAS FRESCAS,221895.39,401447.35,1.81,96.84,4.86,8.8
03-2018,2018,3,Total Nacional,TOMATES,43479.81,69575.29,1.6,79.13,0.95,1.52
03-2018,2018,3,Total Nacional,CEBOLLAS,27461.4,29958.02,1.09,69.58,0.6,0.66
03-2018,2018,3,Total Nacional,AJOS,2990.09,12276.59,4.11,39.63,0.07,0.27
03-2018,2018,3,Total Nacional,COLES,6138.42,6880.82,1.12,21.96,0.13,0.15
03-2018,2018,3,Total Nacional,PEPINOS,5054.0,7647.83,1.51,22.69,0.11,0.17
03-2018,2018,3,Total Nacional,JUDIAS VERDES,6803.28,20165.26,2.96,31.7,0.15,0.44
03-2018,2018,3,Total Nacional,PIMIENTOS,18018.29,33961.77,1.88,64.31,0.39,0.74
03-2018,2018,3,Total Nacional,CHAMPIÑONES+O.SETAS,5590.33,20580.48,3.68,39.47,0.12,0.45
03-2018,2018,3,Total Nacional,LECHUGA/ESC./ENDIVIA,12502.88,35947.81,2.88,59.23,0.27,0.79
03-2018,2018,3,Total Nacional,ESPARRAGOS,2965.76,6966.56,2.35,11.86,0.06,0.15
03-2018,2018,3,Total Nacional,VERDURAS DE HOJA,6189.65,14269.36,2.31,29.87,0.14,0.31
03-2018,2018,3,Total Nacional,BERENJENAS,5685.23,8813.36,1.55,30.41,0.12,0.19
03-2018,2018,3,Total Nacional,ZANAHORIAS,13025.84,11492.76,0.88,55.22,0.29,0.25
03-2018,2018,3,Total Nacional,CALABACINES,15030.79,20858.94,1.39,51.87,0.33,0.46
03-2018,2018,3,Total Nacional,OTR.HORTALIZAS/VERD.,50959.62,102052.5,2.0,81.86,1.12,2.24
03-2018,2018,3,Total Nacional,BROCOLI,5693.99,9177.42,1.61,23.6,0.12,0.2
03-2018,2018,3,Total Nacional,ALCACHOFAS,12808.06,19522.56,1.52,33.55,0.28,0.43
03-2018,2018,3,Total Nacional,VERD./HORT. IV GAMA,25511.08,66958.77,2.62,66.72,0.56,1.47
03-2018,2018,3,Andalucia,TOTAL PATATAS,21446.3,17675.35,0.82,84.49,2.47,2.03
03-2018,2018,3,Andalucia,PATATAS FRESCAS,14575.93,9903.87,0.68,65.79,1.68,1.14
03-2018,2018,3,Andalucia,PATATAS CONGELADAS,1011.75,1178.24,1.16,17.31,0.12,0.14
03-2018,2018,3,Andalucia,PATATAS PROCESADAS,1171.72,6593.24,5.63,55.41,0.13,0.76
03-2018,2018,3,Andalucia,T.HORTALIZAS FRESCAS,38505.79,66399.93,1.72,96.93,4.43,7.64
03-2018,2018,3,Andalucia,TOMATES,8333.52,11584.52,1.39,80.79,0.96,1.33
03-2018,2018,3,Andalucia,CEBOLLAS,4735.59,4780.45,1.01,67.77,0.55,0.55
03-2018,2018,3,Andalucia,AJOS,628.76,2456.09,3.91,44.07,0.07,0.28
03-2018,2018,3,Andalucia,COLES,957.22,1036.86,1.08,15.83,0.11,0.12
03-2018,2018,3,Andalucia,PEPINOS,1010.09,1455.38,1.44,26.64,0.12,0.17
03-2018,2018,3,Andalucia,JUDIAS VERDES,907.26,2724.53,3.0,26.85,0.1,0.31
03-2018,2018,3,Andalucia,PIMIENTOS,3066.64,5597.45,1.83,67.03,0.35,0.64
03-2018,2018,3,Andalucia,CHAMPIÑONES+O.SETAS,902.46,3435.17,3.81,40.43,0.1,0.4
03-2018,2018,3,Andalucia,LECHUGA/ESC./ENDIVIA,2015.24,5917.37,2.94,61.84,0.23,0.68
03-2018,2018,3,Andalucia,ESPARRAGOS,440.0,1117.46,2.54,11.81,0.05,0.13
03-2018,2018,3,Andalucia,VERDURAS DE HOJA,1190.17,2789.16,2.34,31.7,0.14,0.32
03-2018,2018,3,Andalucia,BERENJENAS,1135.7,1601.75,1.41,36.3,0.13,0.18
03-2018,2018,3,Andalucia,ZANAHORIAS,2058.02,1759.69,0.86,51.95,0.24,0.2
03-2018,2018,3,Andalucia,CALABACINES,2269.19,3098.07,1.37,48.96,0.26,0.36
03-2018,2018,3,Andalucia,OTR.HORTALIZAS/VERD.,8855.92,17045.98,1.92,84.02,1.02,1.96
03-2018,2018,3,Andalucia,BROCOLI,901.43,1586.05,1.76,23.72,0.1,0.18
03-2018,2018,3,Andalucia,ALCACHOFAS,1931.4,2834.01,1.47,37.78,0.22,0.33
03-2018,2018,3,Andalucia,VERD./HORT. IV GAMA,4606.78,11538.46,2.5,66.75,0.53,1.33
03-2018,2018,3,Aragon,TOTAL PATATAS,2799.98,2032.76,0.73,80.17,2.13,1.55
03-2018,2018,3,Aragon,PATATAS FRESCAS,2140.34,1280.06,0.6,66.42,1.63,0.97
03-2018,2018,3,Aragon,PATATAS CONGELADAS,64.24,78.97,1.23,7.2,0.05,0.06
03-2018,2018,3,Aragon,PATATAS PROCESADAS,119.08,673.73,5.66,42.43,0.09,0.51
03-2018,2018,3,Aragon,T.HORTALIZAS FRESCAS,7578.78,13834.07,1.83,98.11,5.77,10.54
03-2018,2018,3,Aragon,TOMATES,1256.39,2190.87,1.74,85.2,0.96,1.67
03-2018,2018,3,Aragon,CEBOLLAS,773.58,849.67,1.1,65.93,0.59,0.65
03-2018,2018,3,Aragon,AJOS,94.75,360.54,3.81,41.45,0.07,0.27
03-2018,2018,3,Aragon,COLES,204.52,239.73,1.17,17.35,0.16,0.18
03-2018,2018,3,Aragon,PEPINOS,179.85,297.97,1.66,25.27,0.14,0.23
03-2018,2018,3,Aragon,JUDIAS VERDES,274.34,721.87,2.63,41.66,0.21,0.55
03-2018,2018,3,Aragon,PIMIENTOS,475.8,858.04,1.8,62.24,0.36,0.65
03-2018,2018,3,Aragon,CHAMPIÑONES+O.SETAS,181.94,718.86,3.95,50.12,0.14,0.55
03-2018,2018,3,Aragon,LECHUGA/ESC./ENDIVIA,642.16,1666.47,2.6,68.06,0.49,1.27
03-2018,2018,3,Aragon,ESPARRAGOS,127.16,392.15,3.08,19.06,0.1,0.3
