dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
29/11/2020,29,11,2020,4765,58,Austria,AT,AUT,8858775.0,Europe,858.5724324
28/11/2020,28,11,2020,4818,148,Austria,AT,AUT,8858775.0,Europe,885.9689968
27/11/2020,27,11,2020,5447,114,Austria,AT,AUT,8858775.0,Europe,932.7474736
26/11/2020,26,11,2020,5896,94,Austria,AT,AUT,8858775.0,Europe,988.2969146
25/11/2020,25,11,2020,4135,115,Austria,AT,AUT,8858775.0,Europe,1030.593959
24/11/2020,24,11,2020,3090,94,Austria,AT,AUT,8858775.0,Europe,1027.252639
23/11/2020,23,11,2020,5215,44,Austria,AT,AUT,8858775.0,Europe,1056.760105
22/11/2020,22,11,2020,6239,58,Austria,AT,AUT,8858775.0,Europe,1065.689105
21/11/2020,21,11,2020,6612,79,Austria,AT,AUT,8858775.0,Europe,1084.416299
20/11/2020,20,11,2020,6830,90,Austria,AT,AUT,8858775.0,Europe,1081.165285
19/11/2020,19,11,2020,7766,113,Austria,AT,AUT,8858775.0,Europe,1083.659987
18/11/2020,18,11,2020,5664,74,Austria,AT,AUT,8858775.0,Europe,1069.527107
17/11/2020,17,11,2020,4304,62,Austria,AT,AUT,8858775.0,Europe,1055.76674
16/11/2020,16,11,2020,5278,50,Austria,AT,AUT,8858775.0,Europe,1042.85299
15/11/2020,15,11,2020,7192,55,Austria,AT,AUT,8858775.0,Europe,1034.364232
14/11/2020,14,11,2020,8962,64,Austria,AT,AUT,8858775.0,Europe,1011.212047
13/11/2020,13,11,2020,10368,37,Austria,AT,AUT,8858775.0,Europe,969.2310731
12/11/2020,12,11,2020,9643,55,Austria,AT,AUT,8858775.0,Europe,900.7904592
11/11/2020,11,11,2020,3839,35,Austria,AT,AUT,8858775.0,Europe,838.7728552
10/11/2020,10,11,2020,5704,48,Austria,AT,AUT,8858775.0,Europe,825.8929705
09/11/2020,9,11,2020,6006,17,Austria,AT,AUT,8858775.0,Europe,789.8609006
08/11/2020,8,11,2020,7898,23,Austria,AT,AUT,8858775.0,Europe,753.2869951
07/11/2020,7,11,2020,6324,44,Austria,AT,AUT,8858775.0,Europe,697.8730129
06/11/2020,6,11,2020,7051,47,Austria,AT,AUT,8858775.0,Europe,665.3402982
05/11/2020,5,11,2020,6514,35,Austria,AT,AUT,8858775.0,Europe,614.7576838
04/11/2020,4,11,2020,4445,34,Austria,AT,AUT,8858775.0,Europe,567.8098834
03/11/2020,3,11,2020,3160,21,Austria,AT,AUT,8858775.0,Europe,537.9863469
02/11/2020,2,11,2020,4526,17,Austria,AT,AUT,8858775.0,Europe,514.2133083
01/11/2020,1,11,2020,5141,18,Austria,AT,AUT,8858775.0,Europe,475.1108364
31/10/2020,31,10,2020,5243,15,Austria,AT,AUT,8858775.0,Europe,440.1059966
30/10/2020,30,10,2020,4305,24,Austria,AT,AUT,8858775.0,Europe,400.0101594
29/10/2020,29,10,2020,4149,34,Austria,AT,AUT,8858775.0,Europe,367.1726621
28/10/2020,28,10,2020,2698,18,Austria,AT,AUT,8858775.0,Europe,338.4666616
27/10/2020,27,10,2020,2512,4,Austria,AT,AUT,8858775.0,Europe,321.2295154
26/10/2020,26,10,2020,2766,6,Austria,AT,AUT,8858775.0,Europe,299.7367017
25/10/2020,25,10,2020,2989,6,Austria,AT,AUT,8858775.0,Europe,283.1655618
24/10/2020,24,10,2020,3442,15,Austria,AT,AUT,8858775.0,Europe,259.5957116
23/10/2020,23,10,2020,2570,17,Austria,AT,AUT,8858775.0,Europe,234.0729954
22/10/2020,22,10,2020,2355,13,Austria,AT,AUT,8858775.0,Europe,218.8451564
21/10/2020,21,10,2020,1803,8,Austria,AT,AUT,8858775.0,Europe,202.951311
20/10/2020,20,10,2020,1054,9,Austria,AT,AUT,8858775.0,Europe,188.795855
19/10/2020,19,10,2020,1062,3,Austria,AT,AUT,8858775.0,Europe,191.2115388
18/10/2020,18,10,2020,2040,6,Austria,AT,AUT,8858775.0,Europe,185.9850826
17/10/2020,17,10,2020,1691,7,Austria,AT,AUT,8858775.0,Europe,172.3263092
16/10/2020,16,10,2020,1396,6,Austria,AT,AUT,8858775.0,Europe,163.0812387
15/10/2020,15,10,2020,1606,9,Austria,AT,AUT,8858775.0,Europe,153.6894209
14/10/2020,14,10,2020,1171,10,Austria,AT,AUT,8858775.0,Europe,148.4968294
13/10/2020,13,10,2020,608,5,Austria,AT,AUT,8858775.0,Europe,143.4284086
12/10/2020,12,10,2020,1298,6,Austria,AT,AUT,8858775.0,Europe,141.2949307
11/10/2020,11,10,2020,901,1,Austria,AT,AUT,8858775.0,Europe,132.5804076
10/10/2020,10,10,2020,1181,4,Austria,AT,AUT,8858775.0,Europe,129.4422762
09/10/2020,9,10,2020,1221,9,Austria,AT,AUT,8858775.0,Europe,128.2005695
08/10/2020,8,10,2020,947,4,Austria,AT,AUT,8858775.0,Europe,122.1839363
07/10/2020,7,10,2020,549,22,Austria,AT,AUT,8858775.0,Europe,118.9554989
06/10/2020,6,10,2020,1268,5,Austria,AT,AUT,8858775.0,Europe,121.1905709
05/10/2020,5,10,2020,599,4,Austria,AT,AUT,8858775.0,Europe,113.5710073
04/10/2020,4,10,2020,830,6,Austria,AT,AUT,8858775.0,Europe,113.6838897
03/10/2020,3,10,2020,872,1,Austria,AT,AUT,8858775.0,Europe,112.859848
02/10/2020,2,10,2020,564,3,Austria,AT,AUT,8858775.0,Europe,112.2841476
01/10/2020,1,10,2020,1146,3,Austria,AT,AUT,8858775.0,Europe,116.3253384
30/09/2020,30,9,2020,722,6,Austria,AT,AUT,8858775.0,Europe,111.3359353
29/09/2020,29,9,2020,419,3,Austria,AT,AUT,8858775.0,Europe,112.8937127
28/09/2020,28,9,2020,526,0,Austria,AT,AUT,8858775.0,Europe,114.3611843
27/09/2020,27,9,2020,623,1,Austria,AT,AUT,8858775.0,Europe,112.7582538
26/09/2020,26,9,2020,1071,3,Austria,AT,AUT,8858775.0,Europe,111.3133588
25/09/2020,25,9,2020,688,6,Austria,AT,AUT,8858775.0,Europe,110.5683348
24/09/2020,24,9,2020,661,6,Austria,AT,AUT,8858775.0,Europe,108.4122805
23/09/2020,23,9,2020,747,4,Austria,AT,AUT,8858775.0,Europe,109.462087
22/09/2020,22,9,2020,593,1,Austria,AT,AUT,8858775.0,Europe,106.6174499
21/09/2020,21,9,2020,609,1,Austria,AT,AUT,8858775.0,Europe,105.6918141
20/09/2020,20,9,2020,757,2,Austria,AT,AUT,8858775.0,Europe,101.3006877
19/09/2020,19,9,2020,821,5,Austria,AT,AUT,8858775.0,Europe,95.10344263
18/09/2020,18,9,2020,922,0,Austria,AT,AUT,8858775.0,Europe,88.89490928
17/09/2020,17,9,2020,704,1,Austria,AT,AUT,8858775.0,Europe,82.00908139
16/09/2020,16,9,2020,860,0,Austria,AT,AUT,8858775.0,Europe,79.05156187
15/09/2020,15,9,2020,549,1,Austria,AT,AUT,8858775.0,Europe,73.14781107
14/09/2020,14,9,2020,384,2,Austria,AT,AUT,8858775.0,Europe,69.05017906
13/09/2020,13,9,2020,495,4,Austria,AT,AUT,8858775.0,Europe,67.88749009
12/09/2020,12,9,2020,1005,2,Austria,AT,AUT,8858775.0,Europe,64.26396426
11/09/2020,11,9,2020,497,1,Austria,AT,AUT,8858775.0,Europe,57.23138922
10/09/2020,10,9,2020,754,0,Austria,AT,AUT,8858775.0,Europe,54.18356375
09/09/2020,9,9,2020,495,1,Austria,AT,AUT,8858775.0,Europe,49.23931356
08/09/2020,8,9,2020,511,10,Austria,AT,AUT,8858775.0,Europe,46.9365121
07/09/2020,7,9,2020,220,1,Austria,AT,AUT,8858775.0,Europe,44.64499889
06/09/2020,6,9,2020,208,0,Austria,AT,AUT,8858775.0,Europe,43.74193949
05/09/2020,5,9,2020,271,0,Austria,AT,AUT,8858775.0,Europe,43.83224543
04/09/2020,4,9,2020,312,1,Austria,AT,AUT,8858775.0,Europe,43.8773984
03/09/2020,3,9,2020,442,0,Austria,AT,AUT,8858775.0,Europe,43.83224543
02/09/2020,2,9,2020,337,1,Austria,AT,AUT,8858775.0,Europe,43.64034531
01/09/2020,1,9,2020,186,0,Austria,AT,AUT,8858775.0,Europe,41.61974991
31/08/2020,31,8,2020,281,0,Austria,AT,AUT,8858775.0,Europe,43.40329222
30/08/2020,30,8,2020,174,0,Austria,AT,AUT,8858775.0,Europe,42.05999136
29/08/2020,29,8,2020,382,0,Austria,AT,AUT,8858775.0,Europe,43.03078022
28/08/2020,28,8,2020,227,0,Austria,AT,AUT,8858775.0,Europe,41.21337318
27/08/2020,27,8,2020,316,0,Austria,AT,AUT,8858775.0,Europe,41.23594967
26/08/2020,26,8,2020,291,0,Austria,AT,AUT,8858775.0,Europe,40.38933148
25/08/2020,25,8,2020,308,1,Austria,AT,AUT,8858775.0,Europe,38.66223039
24/08/2020,24,8,2020,140,0,Austria,AT,AUT,8858775.0,Europe,36.43844662
23/08/2020,23,8,2020,216,2,Austria,AT,AUT,8858775.0,Europe,35.71599911
22/08/2020,22,8,2020,275,1,Austria,AT,AUT,8858775.0,Europe,34.58717486
21/08/2020,21,8,2020,308,0,Austria,AT,AUT,8858775.0,Europe,32.95037971
20/08/2020,20,8,2020,425,0,Austria,AT,AUT,8858775.0,Europe,30.76046067
19/08/2020,19,8,2020,158,0,Austria,AT,AUT,8858775.0,Europe,27.1256466
18/08/2020,18,8,2020,344,1,Austria,AT,AUT,8858775.0,Europe,26.82086406
